dimension,metric,max,min,gap_max_minus_min
age_group_3,auc_roc,0.9358870967741936,0.8354037267080745,0.10048337006611907
age_group_3,recall,0.9210526315789473,0.6086956521739131,0.31235697940503426
age_group_3,precision,0.8888888888888888,0.6666666666666666,0.2222222222222222
age_group_3,f1,0.9046849757673667,0.6363636363636364,0.2683213394037304
age_group_3,false_negative_rate,0.391304347826087,0.07894736842105263,0.3123569794050344
age_group_3,false_positive_rate,0.22580645161290322,0.12218649517684887,0.10361995643605434
education_group_3,auc_roc,0.9544181034482758,0.9149791756426827,0.039438927805593105
education_group_3,recall,0.9379310344827586,0.8080808080808081,0.12985022640195054
education_group_3,precision,0.9006622516556292,0.8737623762376238,0.026899875418005426
education_group_3,f1,0.918918918918919,0.8398950131233596,0.0790239057955594
education_group_3,false_negative_rate,0.1919191919191919,0.06206896551724138,0.12985022640195054
education_group_3,false_positive_rate,0.234375,0.10900473933649289,0.1253702606635071
income_group_3,auc_roc,0.9329849930129412,0.9099827187454324,0.023002274267508893
income_group_3,recall,0.9472477064220184,0.7892976588628763,0.1579500475591421
income_group_3,precision,0.9198218262806236,0.8166089965397924,0.10321282974083124
income_group_3,f1,0.9333333333333333,0.8027210884353742,0.1306122448979592
income_group_3,false_negative_rate,0.21070234113712374,0.052752293577981654,0.1579500475591421
income_group_3,false_positive_rate,0.23841059602649006,0.13624678663239073,0.10216380939409933
