model_variant,n_features,auc_roc,log_loss,accuracy,precision,recall,f1
ModelB_Full,61,0.9325837262725185,0.3291218677617015,0.8531994981179423,0.8694714131607335,0.8770402611534276,0.8732394366197183
ModelB_Ablated_No_Proximal_StressHardship,49,0.9006021037359448,0.39420851711883453,0.8255959849435383,0.8487486398258978,0.8487486398258978,0.8487486398258978
Delta_Full_minus_Ablated,12,0.03198162253657366,-0.06508664935713304,0.027603513174404015,0.020722773334835742,0.028291621327529826,0.02449079679382049
