model,best_cv_auc,best_params
RandomForest,0.926605748694203,"{""model__max_depth"": 12, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 371}"
XGBoost,0.9265869367495879,"{""model__colsample_bytree"": 0.9156305710884955, ""model__learning_rate"": 0.05805399684804698, ""model__max_depth"": 4, ""model__n_estimators"": 303, ""model__reg_lambda"": 1.3200654190149195, ""model__subsample"": 0.7962136138813818}"
