k,silhouette,calinski_harabasz,inertia
3,0.12827641225050138,1012.8930386338212,154759.2950766646
4,0.06521355386454036,790.5981987301088,148628.1085298873
5,0.06312068109896043,665.5925803092401,143840.06518334447
6,0.06411939987124007,583.8251794935304,139856.92230910697
