behavior_cluster_final,archetype_label_final,n,fwb_mean,high54_rate,high56_rate
0,Transitional Planner,2104,51.14496197718631,0.3759505703422053,0.2951520912547528
1,Stable Planner,3414,63.39132981839485,0.8274751025190392,0.7712360867018161
2,Reactive-Strained,856,39.07126168224299,0.0677570093457943,0.0467289719626168
