group1,group2,meandiff,p-adj,lower,upper,reject
0,1,12.2464,0.0,11.5273,12.9655,True
0,2,-12.0737,0.0,-13.1255,-11.0219,True
1,2,-24.3201,0.0,-25.3118,-23.3283,True
