,sum_sq,df,F,PR(>F)
C(behavior_cluster_final),248521.5676427471,2.0,1146.7910748275167,0.0
agecat,16859.51838574663,1.0,155.59490787099833,2.6777934414499004e-35
PPINCIMP,37395.45511283818,1.0,345.11913448222936,4.598635372306569e-75
PPEDUC,695.7945621925218,1.0,6.421422505936703,0.011298958748724988
EMPLOY,4478.778841954219,1.0,41.334228258714404,1.3760828426078313e-10
PPGENDER,404.55665272752316,1.0,3.7336152593157723,0.05337217394668826
PPETHM,120.4199794697514,1.0,1.1113446530752553,0.29182985244459125
Residual,689680.8899057757,6365.0,,
