model,cv_auc_mean,cv_auc_std,cv_f1_mean,cv_f1_std,cv_accuracy_mean,cv_accuracy_std,cv_log_loss_mean,cv_log_loss_std,n_features
ModelB_RandomForest,0.9266701655129708,0.003275175868059573,0.8741667055545651,0.008764154545698151,0.8536226798411672,0.009483086045031527,0.3463146882717867,0.006571884454413591,61
ModelB_XGBoost,0.9261716271128494,0.005923144449698569,0.8750705651297366,0.006557222645553342,0.854879059316034,0.007423158021713021,0.3443380035462585,0.013979995642013243,61
ModelB_Logistic,0.9232598812458679,0.005270764259968844,0.8727940197932822,0.005781739659961088,0.8497016037184105,0.0064907526172458055,0.3521216662031136,0.010255765388116036,61
ModelA_Logistic,0.8271586807293309,0.01094586834932871,0.7912070883847139,0.012067928638043655,0.7529011604641858,0.013328454138727104,0.5079875898773115,0.013045392592819992,7
Baseline_Logistic,0.7515855451273253,0.00869554456201757,0.7489397657756698,0.009313727804557624,0.6901467048357806,0.011351273794539532,0.5844488455442911,0.007692415716642175,3
