model,accuracy,precision,recall,f1,log_loss,auc_roc
Model A: Demographics + Knowledge,0.6838810641627543,0.6928104575163399,0.7582260371959942,0.7240437158469946,0.582524878190055,0.762022479683535
Model B: Model A + Behavioral,0.8169014084507042,0.8137651821862348,0.8626609442060086,0.8375,0.39961746324622893,0.9003412227188605
