k,silhouette,calinski_harabasz,inertia
3,0.12085469847804217,1245.724584287399,82726.81383927743
4,0.11684511880043849,1008.4187531027509,78030.60642457646
5,0.10269050172438729,844.6406436310148,75202.87449074734
6,0.08251134757171015,739.1609716623751,72831.86928393303
