,sum_sq,df,F,PR(>F)
C(kmeans_cluster),185461.30980329274,2.0,795.6950240741953,1.144925226542855e-308
agecat,20203.841888346604,1.0,173.36334435241616,4.4854976850771165e-39
PPINCIMP,66485.88232475064,1.0,570.4961945226953,9.51601830564363e-121
PPEDUC,1296.707526136844,1.0,11.126673561412838,0.0008558980734323092
EMPLOY,4821.944568192291,1.0,41.37571662080519,1.3488419178569634e-10
PPHHSIZE,2016.415775504053,1.0,17.30228262417673,3.230629825631919e-05
Residual,730358.9901731352,6267.0,,
