model,accuracy,precision,recall,f1,log_loss,auc_roc
Logistic (Demographic baseline),0.6768388106416275,0.6852331606217616,0.7567954220314735,0.7192386131883073,0.5865617883108708,0.7560455227181195
RandomForest,0.8176838810641628,0.827247191011236,0.8426323319027181,0.8348688873139617,0.4014877090596225,0.8994616044139048
XGBoost,0.8184663536776213,0.8247566063977747,0.8483547925608012,0.8363892806770099,0.39337056086062766,0.9022042345220534
