ACT1_1,ACT1_2,DISTRESS,EMPLOY,FINGOALS,FSscore,FWBscore,GOALCONF,KHscore,LMscore,MANAGE1_1,MANAGE1_2,MANAGE1_3,MANAGE1_4,MATHARDSHIP_1,MATHARDSHIP_2,MATHARDSHIP_3,MATHARDSHIP_4,MATHARDSHIP_5,MATHARDSHIP_6,PPEDUC,PPHHSIZE,PPINCIMP,PROPPLAN_1,PROPPLAN_2,PROPPLAN_3,PROPPLAN_4,SAVEHABIT,SELFCONTROL_1,SELFCONTROL_2,SELFCONTROL_3,agecat,HARDSHIP_TOTAL,FWB_high,FWBcat
4.0,4.0,3.0,8.0,1.0,54.0,61.0,4.0,1.267,3,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5,1,8,4.0,4.0,4.0,4.0,5.0,2.0,3.0,3.0,6,0.0,1,High
4.0,3.0,4.0,2.0,1.0,49.0,37.0,2.0,1.267,3,2.0,2.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,2.0,3,2,4,4.0,5.0,3.0,1.0,1.0,2.0,1.0,2.0,2,5.0,0,Low
4.0,4.0,1.0,6.0,1.0,75.0,47.0,4.0,-1.9,2,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,3,1,8,5.0,5.0,5.0,5.0,6.0,2.0,4.0,3.0,3,0.0,0,Medium
5.0,4.0,3.0,1.0,1.0,68.0,64.0,4.0,0.712,3,5.0,5.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,4,5,7,5.0,5.0,4.0,5.0,4.0,1.0,4.0,3.0,8,0.0,1,High
4.0,4.0,2.0,8.0,0.0,51.0,80.0,3.0,1.267,3,5.0,3.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1,8,2.0,2.0,3.0,2.0,5.0,3.0,2.0,3.0,8,0.0,1,High
5.0,4.0,3.0,2.0,1.0,50.0,63.0,3.0,-0.188,2,5.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3,2,7,4.0,3.0,4.0,3.0,6.0,1.0,3.0,3.0,4,0.0,1,High
5.0,4.0,3.0,2.0,1.0,61.0,52.0,3.0,0.242,3,5.0,5.0,3.0,5.0,1.0,1.0,1.0,1.0,3.0,1.0,2,2,6,5.0,4.0,4.0,3.0,4.0,1.0,3.0,3.0,5,1.0,0,Medium
4.0,3.0,3.0,4.0,0.0,48.0,62.0,3.0,0.242,2,5.0,4.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2,6,3.0,3.0,3.0,2.0,4.0,2.0,2.0,3.0,8,0.0,1,High
3.0,3.0,3.0,7.0,0.0,31.0,40.0,3.0,-0.909,2,5.0,3.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,2,2,1,4.0,3.0,4.0,2.0,4.0,3.0,2.0,3.0,3,1.0,0,Low
4.0,2.0,3.0,1.0,1.0,35.0,33.0,2.0,-0.188,3,5.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2,4,2,5.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,3,0.0,0,Low
5.0,2.0,4.0,2.0,1.0,42.0,45.0,3.0,0.242,3,5.0,4.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3,2,7,5.0,4.0,2.0,3.0,2.0,1.0,4.0,3.0,2,0.0,0,Medium
2.0,2.0,5.0,3.0,1.0,37.0,33.0,2.0,-1.215,1,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2,4,3,4.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,2,2.0,0,Low
3.0,4.0,2.0,5.0,1.0,51.0,54.0,3.0,-0.57,3,4.0,4.0,4.0,5.0,1.0,1.0,3.0,1.0,1.0,1.0,3,5,1,3.0,4.0,4.0,3.0,6.0,2.0,3.0,3.0,1,1.0,0,Medium
2.0,2.0,5.0,2.0,0.0,28.0,39.0,2.0,-0.909,2,5.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,5,2,8,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2,1.0,0,Low
4.0,4.0,4.0,1.0,0.0,50.0,56.0,4.0,0.242,3,5.0,4.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2,3,6,3.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,3,0.0,1,Medium
5.0,5.0,1.0,2.0,0.0,43.0,38.0,4.0,-0.909,2,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,3,2,2,4.0,2.0,5.0,2.0,2.0,1.0,3.0,3.0,5,3.0,0,Low
5.0,4.0,2.0,8.0,1.0,57.0,77.0,4.0,0.712,3,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,3,2,9,5.0,5.0,4.0,3.0,6.0,1.0,3.0,3.0,6,0.0,1,High
4.0,4.0,1.0,2.0,1.0,76.0,57.0,4.0,0.242,3,5.0,4.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5,5,8,4.0,4.0,4.0,4.0,6.0,2.0,4.0,4.0,4,0.0,1,Medium
5.0,4.0,1.0,8.0,0.0,61.0,71.0,4.0,0.242,2,5.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3,2,9,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6,0.0,1,High
4.0,5.0,2.0,1.0,1.0,70.0,76.0,4.0,1.267,3,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,2,3,1.0,5.0,5.0,5.0,6.0,1.0,4.0,4.0,1,0.0,1,High
5.0,4.0,4.0,8.0,1.0,60.0,52.0,3.0,0.712,3,5.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,3,2,7,4.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,6,1.0,0,Medium
4.0,2.0,4.0,2.0,1.0,39.0,51.0,3.0,-1.215,2,5.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,4,4,3,4.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,2,0.0,0,Medium
5.0,3.0,5.0,6.0,1.0,61.0,30.0,3.0,-0.188,3,5.0,5.0,2.0,5.0,2.0,1.0,1.0,1.0,2.0,1.0,4,2,5,3.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,4,2.0,0,Low
4.0,3.0,2.0,2.0,1.0,40.0,60.0,3.0,0.242,3,5.0,5.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,2,3,4,4.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,2,1.0,1,Medium
5.0,3.0,4.0,1.0,0.0,60.0,34.0,3.0,0.712,3,5.0,4.0,4.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,3,1,2,5.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,6,2.0,0,Low
5.0,5.0,2.0,8.0,0.0,55.0,76.0,4.0,0.242,3,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5,2,8,2.0,4.0,3.0,4.0,5.0,2.0,3.0,3.0,8,0.0,1,High
4.0,3.0,3.0,8.0,1.0,43.0,50.0,3.0,0.242,3,5.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2,4,4.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,6,0.0,0,Medium
4.0,4.0,4.0,2.0,0.0,43.0,47.0,3.0,0.712,3,5.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3,3,6,4.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,4,0.0,0,Medium
2.0,3.0,4.0,2.0,1.0,27.0,37.0,2.0,-1.215,2,3.0,2.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,4,5,3,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2,3.0,0,Low
5.0,4.0,2.0,2.0,1.0,64.0,71.0,4.0,0.712,3,5.0,4.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2,8,5.0,5.0,4.0,4.0,6.0,2.0,3.0,4.0,5,0.0,1,High
5.0,4.0,4.0,2.0,1.0,49.0,47.0,3.0,-0.909,1,5.0,4.0,5.0,5.0,1.0,1.0,1.0,3.0,2.0,1.0,3,3,6,4.0,4.0,4.0,4.0,5.0,1.0,3.0,3.0,2,2.0,0,Medium
4.0,3.0,4.0,2.0,1.0,55.0,43.0,2.0,1.267,3,4.0,4.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,5,5,9,4.0,4.0,4.0,4.0,5.0,2.0,2.0,3.0,4,3.0,0,Low
3.0,3.0,4.0,8.0,1.0,41.0,50.0,3.0,-0.57,3,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,3,2,3,4.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,6,0.0,0,Medium
5.0,4.0,3.0,8.0,1.0,53.0,59.0,4.0,0.242,3,5.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5,1,5,3.0,4.0,4.0,3.0,6.0,1.0,3.0,3.0,7,0.0,1,Medium
5.0,4.0,4.0,2.0,1.0,56.0,61.0,4.0,-0.188,3,5.0,4.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5,5,7,4.0,4.0,4.0,4.0,6.0,2.0,3.0,4.0,3,0.0,1,High
