file_key,file_name,official_url,downloaded_path,downloaded_size_bytes,downloaded_sha256,local_path,local_exists,local_sha256,local_matches_download
csv,NFWBS_PUF_2016_data.csv,https://files.consumerfinance.gov/f/documents/NFWBS_PUF_2016_data.csv,data/raw/NFWBS_PUF_2016_data.csv,2992071,3680d33576549a99a8dfd7f99d5661a36a8fc1aac0d66f2bf2ec5524695304d8,data/raw/NFWBS_PUF_2016_data.csv,True,3680d33576549a99a8dfd7f99d5661a36a8fc1aac0d66f2bf2ec5524695304d8,True
codebook_pdf,cfpb_nfwbs-puf-codebook.pdf,https://files.consumerfinance.gov/f/documents/cfpb_nfwbs-puf-codebook.pdf,data/raw/cfpb_nfwbs-puf-codebook.pdf,1024421,df471d78a56cb77ee71e3c69f529343c794df68579c40864bcde3d984eae7e48,data/raw/cfpb_nfwbs-puf-codebook.pdf,True,df471d78a56cb77ee71e3c69f529343c794df68579c40864bcde3d984eae7e48,True
user_guide_pdf,cfpb_nfwbs-puf-user-guide.pdf,https://files.consumerfinance.gov/f/documents/cfpb_nfwbs-puf-user-guide.pdf,data/raw/cfpb_nfwbs-puf-user-guide.pdf,626183,8df3a15b3f9f6b00ac45abbbe5758ee3d1185b80a00e06843d82806ff6df0de6,data/raw/cfpb_nfwbs-puf-user-guide.pdf,True,8df3a15b3f9f6b00ac45abbbe5758ee3d1185b80a00e06843d82806ff6df0de6,True
