FWBscore,SAVEHABIT,SCFHORIZON,PROPPLAN_1,PROPPLAN_2,PROPPLAN_3,PROPPLAN_4,MANAGE1_1,MANAGE1_2,MANAGE1_3,MANAGE1_4,ACT1_1,ACT1_2,FINGOALS,GOALCONF,DISTRESS,ABSORBSHOCK,VOLATILITY,ENDSMEET,COVERCOSTS,MATHARDSHIP_1,MATHARDSHIP_2,MATHARDSHIP_3,MATHARDSHIP_4,MATHARDSHIP_5,MATHARDSHIP_6,SHOCKS_1,SHOCKS_2,SHOCKS_3,SHOCKS_4,SHOCKS_5,SHOCKS_6,SHOCKS_7,SHOCKS_8,SHOCKS_9,SHOCKS_10,SHOCKS_11,PAREDUC,FINSOC2_1,FINSOC2_2,FINSOC2_3,FINSOC2_4,FINSOC2_5,FINSOC2_6,FINSOC2_7,EARNERS,PPHHSIZE,LIVINGARRANGEMENT,MATERIALISM_1,MATERIALISM_2,MATERIALISM_3,CONNECT,OUTLOOK_1,OUTLOOK_2,agecat,PPINCIMP,PPEDUC,EMPLOY,PPGENDER,PPETHM,LMscore,KHscore,FSscore,finalwt,row_missing_core_pct,HARDSHIP_TOTAL,FWB_high_54,FWB_high_56,FWBcat,behavior_cluster
62.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,1.0,4.0,3.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2,2.0,3.0,3.0,3.0,90.0,4.0,5.0,6,8,4,8.0,2,1,3,0.242,57.0,0.745163109450516,0.0,6,1,1,High,1
50.0,5.0,1.0,5.0,4.0,3.0,5.0,5.0,5.0,1.0,5.0,4.0,4.0,1.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,4,3.0,3.0,4.0,2.0,80.0,4.0,5.0,1,3,3,5.0,2,1,2,-0.909,49.0,1.29257634075048,0.0,6,0,0,Medium,1
40.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,5.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,3,3.0,1.0,1.0,1.0,100.0,1.0,1.0,2,9,4,3.0,1,1,3,-0.57,30.0,1.14093362145229,0.0,6,0,0,Low,2
61.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,1.0,4.0,4.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,1,0,0,0,0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,3,2.0,4.0,4.0,2.0,75.0,5.0,5.0,2,9,5,2.0,1,1,3,0.712,71.0,0.810600275696189,0.0,6,1,1,Medium,1
69.0,5.0,4.0,5.0,5.0,3.0,3.0,5.0,4.0,1.0,5.0,3.0,3.0,0.0,3.0,3.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5,2.0,1.0,3.0,1.0,100.0,5.0,4.0,2,2,1,2.0,1,4,3,-1.215,48.0,4.28398465368331,0.0,6,1,1,High,1
37.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0,5.0,1.0,1.0,5.0,5.0,1.0,3.0,5.0,1.0,3.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,5,4.0,2.0,2.0,2.0,50.0,4.0,1.0,1,1,2,7.0,1,1,1,-0.909,32.0,1.02519171409611,0.0,6,0,0,Low,0
52.0,2.0,2.0,4.0,3.0,4.0,2.0,5.0,3.0,1.0,4.0,4.0,3.0,1.0,3.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2,2.0,4.0,4.0,4.0,80.0,2.0,4.0,1,3,3,2.0,2,1,2,-1.215,40.0,1.04518051687367,0.0,6,0,0,Medium,2
69.0,5.0,5.0,2.0,2.0,3.0,2.0,5.0,2.0,5.0,5.0,5.0,3.0,0.0,3.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,1,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2,2.0,3.0,4.0,2.0,80.0,3.0,4.0,7,9,5,8.0,1,1,2,0.712,50.0,0.49505346992289,0.0,6,1,1,High,2
67.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,4.0,1.0,4.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,0,0,0,0,0,0,0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1.0,3.0,3.0,2.0,0.0,5.0,1.0,6,2,2,8.0,2,2,1,-0.57,79.0,0.86699943390379,0.0,6,1,1,High,1
40.0,4.0,2.0,2.0,4.0,2.0,2.0,5.0,2.0,3.0,5.0,5.0,3.0,1.0,3.0,5.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2,2.0,2.0,2.0,2.0,100.0,2.0,4.0,3,8,3,2.0,2,1,2,-0.188,38.0,1.30150653538086,0.0,6,0,0,Low,2
51.0,4.0,3.0,3.0,2.0,3.0,3.0,5.0,3.0,5.0,5.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,0,1,0,0,0,0,0,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5,3.0,1.0,2.0,2.0,88.0,4.0,4.0,4,6,4,2.0,1,3,2,-1.215,41.0,1.1633208868472,0.058823529411764705,6,0,0,Medium,2
61.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,1.0,4.0,3.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,1,0,0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1,2.0,3.0,2.0,1.0,100.0,4.0,4.0,6,8,5,8.0,1,3,3,1.267,54.0,0.450493754246585,0.0,6,1,1,Medium,1
37.0,1.0,3.0,4.0,5.0,3.0,1.0,2.0,2.0,3.0,3.0,4.0,3.0,1.0,2.0,4.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,1,0,0,0,0,0,0,0,1,0,0,5.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,2,2.0,4.0,3.0,1.0,80.0,4.0,4.0,2,4,3,2.0,2,1,3,1.267,49.0,1.04433916723361,0.0,6,0,0,Low,0
47.0,6.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,1.0,4.0,1.0,8.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,1,0,0,0,0,0,0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,1.0,1.0,1.0,10.0,3.0,3.0,3,8,3,6.0,2,2,2,-1.9,75.0,1.57280372533545,0.0,6,0,0,Medium,1
64.0,4.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,1.0,4.0,3.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,5,2.0,4.0,4.0,2.0,80.0,5.0,4.0,8,7,4,1.0,1,4,3,0.712,68.0,0.369339629236367,0.0,6,1,1,High,1
80.0,5.0,4.0,2.0,2.0,3.0,2.0,5.0,3.0,5.0,5.0,4.0,4.0,0.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1,4.0,5.0,5.0,5.0,100.0,4.0,2.0,8,8,2,8.0,1,1,3,1.267,51.0,0.389242114325975,0.0,6,1,1,High,2
63.0,6.0,3.0,4.0,3.0,4.0,3.0,5.0,4.0,4.0,3.0,5.0,4.0,1.0,3.0,3.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2,2.0,3.0,4.0,4.0,90.0,3.0,4.0,4,7,3,2.0,1,2,2,-0.188,50.0,0.828111178683571,0.0,6,1,1,High,1
